Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
2025-07-25 03:00:00+02:00,35997.0,36259.0
2025-07-25 03:15:00+02:00,35785.0,35856.0
2025-07-25 03:30:00+02:00,35573.0,35477.0
2025-07-25 03:45:00+02:00,35220.0,35154.0
2025-07-25 04:00:00+02:00,34867.0,35185.0
2025-07-25 04:15:00+02:00,34888.0,35093.0
2025-07-25 04:30:00+02:00,34909.0,35184.0
2025-07-25 04:45:00+02:00,34901.0,35276.0
2025-07-25 05:00:00+02:00,34893.0,35702.0
2025-07-25 05:15:00+02:00,35401.0,36115.0
2025-07-25 05:30:00+02:00,35909.0,36534.0
2025-07-25 05:45:00+02:00,36428.0,36961.0
2025-07-25 06:00:00+02:00,36946.0,37754.0
2025-07-25 06:15:00+02:00,37511.0,38308.0
2025-07-25 06:30:00+02:00,38076.0,38884.0
2025-07-25 06:45:00+02:00,38719.0,39540.0
2025-07-25 07:00:00+02:00,39362.0,40288.0
2025-07-25 07:15:00+02:00,40201.0,41224.0
2025-07-25 07:30:00+02:00,41039.0,41906.0
2025-07-25 07:45:00+02:00,41838.0,42730.0
2025-07-25 08:00:00+02:00,42636.0,43608.0
2025-07-25 08:15:00+02:00,43455.0,44475.0
2025-07-25 08:30:00+02:00,44273.0,45074.0
2025-07-25 08:45:00+02:00,44727.0,45567.0
2025-07-25 09:00:00+02:00,45181.0,45968.0
2025-07-25 09:15:00+02:00,45591.0,46780.0
2025-07-25 09:30:00+02:00,46001.0,47018.0
2025-07-25 09:45:00+02:00,46401.0,47054.0
2025-07-25 10:00:00+02:00,46800.0,47383.0
2025-07-25 10:15:00+02:00,46835.0,47544.0
2025-07-25 10:30:00+02:00,46869.0,47568.0
2025-07-25 10:45:00+02:00,46807.0,47442.0
2025-07-25 11:00:00+02:00,46745.0,47373.0
2025-07-25 11:15:00+02:00,46892.0,47565.0
2025-07-25 11:30:00+02:00,47039.0,47921.0
2025-07-25 11:45:00+02:00,47430.0,48358.0
2025-07-25 12:00:00+02:00,47820.0,48659.0
2025-07-25 12:15:00+02:00,47559.0,48769.0
2025-07-25 12:30:00+02:00,47297.0,49592.0
2025-07-25 12:45:00+02:00,47805.0,48476.0
2025-07-25 13:00:00+02:00,48312.0,48375.0
2025-07-25 13:15:00+02:00,47324.0,47743.0
2025-07-25 13:30:00+02:00,46335.0,47479.0
2025-07-25 13:45:00+02:00,46010.0,46756.0
2025-07-25 14:00:00+02:00,45684.0,47388.0
2025-07-25 14:15:00+02:00,45634.0,47210.0
2025-07-25 14:30:00+02:00,45583.0,47148.0
2025-07-25 14:45:00+02:00,45565.0,46614.0
2025-07-25 15:00:00+02:00,45546.0,46566.0
2025-07-25 15:15:00+02:00,45283.0,46337.0
2025-07-25 15:30:00+02:00,45020.0,46055.0
2025-07-25 15:45:00+02:00,44633.0,45340.0
2025-07-25 16:00:00+02:00,44245.0,45341.0
2025-07-25 16:15:00+02:00,44313.0,45139.0
2025-07-25 16:30:00+02:00,44381.0,44781.0
2025-07-25 16:45:00+02:00,43911.0,44578.0
2025-07-25 17:00:00+02:00,43440.0,44386.0
2025-07-25 17:15:00+02:00,43434.0,44162.0
2025-07-25 17:30:00+02:00,43427.0,44550.0
2025-07-25 17:45:00+02:00,43609.0,44610.0
2025-07-25 18:00:00+02:00,43790.0,44846.0
2025-07-25 18:15:00+02:00,44095.0,44969.0
2025-07-25 18:30:00+02:00,44400.0,45082.0
2025-07-25 18:45:00+02:00,44800.0,45228.0
2025-07-25 19:00:00+02:00,45200.0,45358.0
2025-07-25 19:15:00+02:00,44996.0,45049.0
2025-07-25 19:30:00+02:00,44791.0,44882.0
2025-07-25 19:45:00+02:00,44349.0,44601.0
2025-07-25 20:00:00+02:00,43907.0,44293.0
2025-07-25 20:15:00+02:00,43358.0,43460.0
2025-07-25 20:30:00+02:00,42808.0,42965.0
2025-07-25 20:45:00+02:00,42647.0,42620.0
2025-07-25 21:00:00+02:00,42485.0,42642.0
2025-07-25 21:15:00+02:00,42471.0,42490.0
2025-07-25 21:30:00+02:00,42457.0,42618.0
2025-07-25 21:45:00+02:00,42151.0,42454.0
2025-07-25 22:00:00+02:00,41845.0,43761.0
2025-07-25 22:15:00+02:00,42582.0,43602.0
2025-07-25 22:30:00+02:00,43319.0,44846.0
2025-07-25 22:45:00+02:00,43716.0,44317.0
2025-07-25 23:00:00+02:00,44112.0,44202.0
2025-07-25 23:15:00+02:00,43562.0,43297.0
2025-07-25 23:30:00+02:00,43011.0,43555.0
2025-07-25 23:45:00+02:00,42329.0,42535.0
2025-07-26 00:00:00+02:00,41889.0,42162.0
2025-07-26 00:15:00+02:00,40916.0,40853.0
2025-07-26 00:30:00+02:00,39942.0,39282.0
2025-07-26 00:45:00+02:00,38959.0,38378.0
2025-07-26 01:00:00+02:00,37975.0,38257.0
2025-07-26 01:15:00+02:00,37869.0,37766.0
2025-07-26 01:30:00+02:00,37763.0,37629.0
2025-07-26 01:45:00+02:00,37535.0,36888.0
2025-07-26 02:00:00+02:00,37306.0,36909.0
2025-07-26 02:15:00+02:00,36513.0,36183.0
2025-07-26 02:30:00+02:00,35719.0,35632.0
2025-07-26 02:45:00+02:00,35277.0,34911.0
2025-07-26 03:00:00+02:00,34834.0,34558.0
2025-07-26 03:15:00+02:00,34517.0,34075.0
2025-07-26 03:30:00+02:00,34199.0,33714.0
2025-07-26 03:45:00+02:00,33890.0,33226.0
2025-07-26 04:00:00+02:00,33581.0,33199.0
2025-07-26 04:15:00+02:00,33280.0,32928.0
2025-07-26 04:30:00+02:00,32978.0,32837.0
2025-07-26 04:45:00+02:00,32709.0,32658.0
2025-07-26 05:00:00+02:00,32439.0,32968.0
2025-07-26 05:15:00+02:00,32707.0,33060.0
2025-07-26 05:30:00+02:00,32974.0,33069.0
2025-07-26 05:45:00+02:00,32863.0,33071.0
2025-07-26 06:00:00+02:00,32752.0,33276.0
2025-07-26 06:15:00+02:00,32828.0,33317.0
2025-07-26 06:30:00+02:00,32903.0,33332.0
2025-07-26 06:45:00+02:00,32968.0,33546.0
2025-07-26 07:00:00+02:00,33033.0,33854.0
2025-07-26 07:15:00+02:00,33457.0,34315.0
2025-07-26 07:30:00+02:00,33880.0,34655.0
2025-07-26 07:45:00+02:00,34418.0,35276.0
2025-07-26 08:00:00+02:00,34955.0,35958.0
2025-07-26 08:15:00+02:00,35721.0,36679.0
2025-07-26 08:30:00+02:00,36487.0,37524.0
