Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
12.08.2024 00:00 - 12.08.2024 01:00,35213,-
12.08.2024 01:00 - 12.08.2024 02:00,33530,-
12.08.2024 02:00 - 12.08.2024 03:00,32939,-
12.08.2024 03:00 - 12.08.2024 04:00,34109,-
12.08.2024 04:00 - 12.08.2024 05:00,36035,-
12.08.2024 05:00 - 12.08.2024 06:00,38031,-
12.08.2024 06:00 - 12.08.2024 07:00,41062,-
12.08.2024 07:00 - 12.08.2024 08:00,44027,-
12.08.2024 08:00 - 12.08.2024 09:00,46017,-
12.08.2024 09:00 - 12.08.2024 10:00,47862,-
12.08.2024 10:00 - 12.08.2024 11:00,49782,-
12.08.2024 11:00 - 12.08.2024 12:00,49293,-
12.08.2024 12:00 - 12.08.2024 13:00,48966,-
12.08.2024 13:00 - 12.08.2024 14:00,48075,-
12.08.2024 14:00 - 12.08.2024 15:00,47161,-
12.08.2024 15:00 - 12.08.2024 16:00,47045,-
12.08.2024 16:00 - 12.08.2024 17:00,47442,-
12.08.2024 17:00 - 12.08.2024 18:00,47423,-
12.08.2024 18:00 - 12.08.2024 19:00,45855,-
12.08.2024 19:00 - 12.08.2024 20:00,45403,-
12.08.2024 20:00 - 12.08.2024 21:00,46020,-
12.08.2024 21:00 - 12.08.2024 22:00,44639,-
12.08.2024 22:00 - 12.08.2024 23:00,40981,-
12.08.2024 23:00 - 13.08.2024 00:00,38650,-
13.08.2024 00:00 - 13.08.2024 01:00,37093,-
13.08.2024 01:00 - 13.08.2024 02:00,35261,-
13.08.2024 02:00 - 13.08.2024 03:00,34605,-
13.08.2024 03:00 - 13.08.2024 04:00,35582,-
13.08.2024 04:00 - 13.08.2024 05:00,37425,-
13.08.2024 05:00 - 13.08.2024 06:00,39224,-
13.08.2024 06:00 - 13.08.2024 07:00,41959,-
13.08.2024 07:00 - 13.08.2024 08:00,44468,-
13.08.2024 08:00 - 13.08.2024 09:00,45935,-
13.08.2024 09:00 - 13.08.2024 10:00,47330,-
13.08.2024 10:00 - 13.08.2024 11:00,48877,-
13.08.2024 11:00 - 13.08.2024 12:00,48170,-
13.08.2024 12:00 - 13.08.2024 13:00,47794,-
13.08.2024 13:00 - 13.08.2024 14:00,46806,-
13.08.2024 14:00 - 13.08.2024 15:00,45879,-
13.08.2024 15:00 - 13.08.2024 16:00,45691,-
13.08.2024 16:00 - 13.08.2024 17:00,46044,-
13.08.2024 17:00 - 13.08.2024 18:00,45985,-
13.08.2024 18:00 - 13.08.2024 19:00,44084,-
13.08.2024 19:00 - 13.08.2024 20:00,43684,-
13.08.2024 20:00 - 13.08.2024 21:00,44394,-
13.08.2024 21:00 - 13.08.2024 22:00,43211,-
13.08.2024 22:00 - 13.08.2024 23:00,39982,-
13.08.2024 23:00 - 14.08.2024 00:00,37724,-
14.08.2024 00:00 - 14.08.2024 01:00,36293,-
14.08.2024 01:00 - 14.08.2024 02:00,34505,-
14.08.2024 02:00 - 14.08.2024 03:00,33774,-
14.08.2024 03:00 - 14.08.2024 04:00,34760,-
14.08.2024 04:00 - 14.08.2024 05:00,36620,-
