Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
19.08.2024 00:00 - 19.08.2024 01:00,32415,-
19.08.2024 01:00 - 19.08.2024 02:00,30958,-
19.08.2024 02:00 - 19.08.2024 03:00,30659,-
19.08.2024 03:00 - 19.08.2024 04:00,31982,-
19.08.2024 04:00 - 19.08.2024 05:00,34358,-
19.08.2024 05:00 - 19.08.2024 06:00,36399,-
19.08.2024 06:00 - 19.08.2024 07:00,39475,-
19.08.2024 07:00 - 19.08.2024 08:00,42110,-
19.08.2024 08:00 - 19.08.2024 09:00,43409,-
19.08.2024 09:00 - 19.08.2024 10:00,44656,-
19.08.2024 10:00 - 19.08.2024 11:00,46290,-
19.08.2024 11:00 - 19.08.2024 12:00,45384,-
19.08.2024 12:00 - 19.08.2024 13:00,44405,-
19.08.2024 13:00 - 19.08.2024 14:00,43392,-
19.08.2024 14:00 - 19.08.2024 15:00,42523,-
19.08.2024 15:00 - 19.08.2024 16:00,42454,-
19.08.2024 16:00 - 19.08.2024 17:00,43305,-
19.08.2024 17:00 - 19.08.2024 18:00,43936,-
19.08.2024 18:00 - 19.08.2024 19:00,42681,-
19.08.2024 19:00 - 19.08.2024 20:00,42220,-
19.08.2024 20:00 - 19.08.2024 21:00,42631,-
19.08.2024 21:00 - 19.08.2024 22:00,41747,-
19.08.2024 22:00 - 19.08.2024 23:00,38664,-
19.08.2024 23:00 - 20.08.2024 00:00,36473,-
20.08.2024 00:00 - 20.08.2024 01:00,35199,-
20.08.2024 01:00 - 20.08.2024 02:00,33455,-
20.08.2024 02:00 - 20.08.2024 03:00,32824,-
20.08.2024 03:00 - 20.08.2024 04:00,34008,-
20.08.2024 04:00 - 20.08.2024 05:00,36148,-
20.08.2024 05:00 - 20.08.2024 06:00,38096,-
20.08.2024 06:00 - 20.08.2024 07:00,40867,-
20.08.2024 07:00 - 20.08.2024 08:00,43269,-
20.08.2024 08:00 - 20.08.2024 09:00,44628,-
20.08.2024 09:00 - 20.08.2024 10:00,45812,-
20.08.2024 10:00 - 20.08.2024 11:00,47396,-
20.08.2024 11:00 - 20.08.2024 12:00,46755,-
20.08.2024 12:00 - 20.08.2024 13:00,45544,-
20.08.2024 13:00 - 20.08.2024 14:00,44428,-
20.08.2024 14:00 - 20.08.2024 15:00,43598,-
20.08.2024 15:00 - 20.08.2024 16:00,43375,-
20.08.2024 16:00 - 20.08.2024 17:00,44166,-
20.08.2024 17:00 - 20.08.2024 18:00,44414,-
20.08.2024 18:00 - 20.08.2024 19:00,42823,-
20.08.2024 19:00 - 20.08.2024 20:00,42343,-
20.08.2024 20:00 - 20.08.2024 21:00,42507,-
20.08.2024 21:00 - 20.08.2024 22:00,41716,-
20.08.2024 22:00 - 20.08.2024 23:00,38516,-
20.08.2024 23:00 - 21.08.2024 00:00,36437,-
21.08.2024 00:00 - 21.08.2024 01:00,35113,-
21.08.2024 01:00 - 21.08.2024 02:00,33468,-
21.08.2024 02:00 - 21.08.2024 03:00,32900,-
21.08.2024 03:00 - 21.08.2024 04:00,34100,-
21.08.2024 04:00 - 21.08.2024 05:00,36271,-
21.08.2024 05:00 - 21.08.2024 06:00,38347,-
21.08.2024 06:00 - 21.08.2024 07:00,41127,-
21.08.2024 07:00 - 21.08.2024 08:00,43257,-
21.08.2024 08:00 - 21.08.2024 09:00,44278,-
21.08.2024 09:00 - 21.08.2024 10:00,45245,-
21.08.2024 10:00 - 21.08.2024 11:00,47111,-
21.08.2024 11:00 - 21.08.2024 12:00,48172,-
21.08.2024 12:00 - 21.08.2024 13:00,44954,-
21.08.2024 13:00 - 21.08.2024 14:00,43797,-
21.08.2024 14:00 - 21.08.2024 15:00,42467,-
21.08.2024 15:00 - 21.08.2024 16:00,42395,-
21.08.2024 16:00 - 21.08.2024 17:00,43496,-
21.08.2024 17:00 - 21.08.2024 18:00,44262,-
21.08.2024 18:00 - 21.08.2024 19:00,43247,-
21.08.2024 19:00 - 21.08.2024 20:00,42849,-
21.08.2024 20:00 - 21.08.2024 21:00,43360,-
21.08.2024 21:00 - 21.08.2024 22:00,42636,-
21.08.2024 22:00 - 21.08.2024 23:00,39660,-
21.08.2024 23:00 - 22.08.2024 00:00,37418,-
22.08.2024 00:00 - 22.08.2024 01:00,36126,-
22.08.2024 01:00 - 22.08.2024 02:00,34473,-
22.08.2024 02:00 - 22.08.2024 03:00,33765,-
22.08.2024 03:00 - 22.08.2024 04:00,34898,-
22.08.2024 04:00 - 22.08.2024 05:00,37229,-
22.08.2024 05:00 - 22.08.2024 06:00,39124,-
22.08.2024 06:00 - 22.08.2024 07:00,41584,-
22.08.2024 07:00 - 22.08.2024 08:00,43502,-
22.08.2024 08:00 - 22.08.2024 09:00,44624,-
22.08.2024 09:00 - 22.08.2024 10:00,46363,-
22.08.2024 10:00 - 22.08.2024 11:00,47449,-
22.08.2024 11:00 - 22.08.2024 12:00,46681,-
22.08.2024 12:00 - 22.08.2024 13:00,45906,-
22.08.2024 13:00 - 22.08.2024 14:00,44897,-
22.08.2024 14:00 - 22.08.2024 15:00,43991,-
22.08.2024 15:00 - 22.08.2024 16:00,43722,-
22.08.2024 16:00 - 22.08.2024 17:00,44534,-
22.08.2024 17:00 - 22.08.2024 18:00,44854,-
22.08.2024 18:00 - 22.08.2024 19:00,43529,-
22.08.2024 19:00 - 22.08.2024 20:00,42910,-
22.08.2024 20:00 - 22.08.2024 21:00,43160,-
22.08.2024 21:00 - 22.08.2024 22:00,42174,-
22.08.2024 22:00 - 22.08.2024 23:00,38933,-
22.08.2024 23:00 - 23.08.2024 00:00,36834,-
23.08.2024 00:00 - 23.08.2024 01:00,35441,-
23.08.2024 01:00 - 23.08.2024 02:00,33755,-
23.08.2024 02:00 - 23.08.2024 03:00,33006,-
23.08.2024 03:00 - 23.08.2024 04:00,34152,-
23.08.2024 04:00 - 23.08.2024 05:00,36505,-
23.08.2024 05:00 - 23.08.2024 06:00,38606,-
23.08.2024 06:00 - 23.08.2024 07:00,41507,-
23.08.2024 07:00 - 23.08.2024 08:00,43802,-
23.08.2024 08:00 - 23.08.2024 09:00,44936,-
23.08.2024 09:00 - 23.08.2024 10:00,46269,-
23.08.2024 10:00 - 23.08.2024 11:00,47719,-
23.08.2024 11:00 - 23.08.2024 12:00,46435,-
23.08.2024 12:00 - 23.08.2024 13:00,45651,-
23.08.2024 13:00 - 23.08.2024 14:00,44617,-
23.08.2024 14:00 - 23.08.2024 15:00,43828,-
23.08.2024 15:00 - 23.08.2024 16:00,43744,-
23.08.2024 16:00 - 23.08.2024 17:00,44462,-
23.08.2024 17:00 - 23.08.2024 18:00,44679,-
23.08.2024 18:00 - 23.08.2024 19:00,43513,-
23.08.2024 19:00 - 23.08.2024 20:00,43151,-
23.08.2024 20:00 - 23.08.2024 21:00,43668,-
23.08.2024 21:00 - 23.08.2024 22:00,42916,-
23.08.2024 22:00 - 23.08.2024 23:00,39626,-
23.08.2024 23:00 - 24.08.2024 00:00,37275,-
24.08.2024 00:00 - 24.08.2024 01:00,35531,-
24.08.2024 01:00 - 24.08.2024 02:00,33594,-
24.08.2024 02:00 - 24.08.2024 03:00,32363,-
24.08.2024 03:00 - 24.08.2024 04:00,32539,-
24.08.2024 04:00 - 24.08.2024 05:00,33237,-
24.08.2024 05:00 - 24.08.2024 06:00,33983,-
24.08.2024 06:00 - 24.08.2024 07:00,36119,-
24.08.2024 07:00 - 24.08.2024 08:00,38936,-
24.08.2024 08:00 - 24.08.2024 09:00,40928,-
24.08.2024 09:00 - 24.08.2024 10:00,42301,-
24.08.2024 10:00 - 24.08.2024 11:00,45011,-
24.08.2024 11:00 - 24.08.2024 12:00,44670,-
24.08.2024 12:00 - 24.08.2024 13:00,43778,-
24.08.2024 13:00 - 24.08.2024 14:00,42243,-
24.08.2024 14:00 - 24.08.2024 15:00,40797,-
24.08.2024 15:00 - 24.08.2024 16:00,40962,-
24.08.2024 16:00 - 24.08.2024 17:00,41635,-
24.08.2024 17:00 - 24.08.2024 18:00,41706,-
24.08.2024 18:00 - 24.08.2024 19:00,40457,-
24.08.2024 19:00 - 24.08.2024 20:00,40271,-
24.08.2024 20:00 - 24.08.2024 21:00,40878,-
24.08.2024 21:00 - 24.08.2024 22:00,40469,-
24.08.2024 22:00 - 24.08.2024 23:00,37830,-
24.08.2024 23:00 - 25.08.2024 00:00,35501,-
25.08.2024 00:00 - 25.08.2024 01:00,34157,-
25.08.2024 01:00 - 25.08.2024 02:00,32436,-
25.08.2024 02:00 - 25.08.2024 03:00,31203,-
25.08.2024 03:00 - 25.08.2024 04:00,31191,-
25.08.2024 04:00 - 25.08.2024 05:00,31460,-
25.08.2024 05:00 - 25.08.2024 06:00,31529,-
25.08.2024 06:00 - 25.08.2024 07:00,33496,-
25.08.2024 07:00 - 25.08.2024 08:00,36348,-
25.08.2024 08:00 - 25.08.2024 09:00,38673,-
25.08.2024 09:00 - 25.08.2024 10:00,40522,-
25.08.2024 10:00 - 25.08.2024 11:00,43150,-
25.08.2024 11:00 - 25.08.2024 12:00,41593,-
25.08.2024 12:00 - 25.08.2024 13:00,39841,-
25.08.2024 13:00 - 25.08.2024 14:00,38734,-
25.08.2024 14:00 - 25.08.2024 15:00,37750,-
25.08.2024 15:00 - 25.08.2024 16:00,36793,-
25.08.2024 16:00 - 25.08.2024 17:00,38209,-
25.08.2024 17:00 - 25.08.2024 18:00,39730,-
25.08.2024 18:00 - 25.08.2024 19:00,40099,-
25.08.2024 19:00 - 25.08.2024 20:00,40360,-
25.08.2024 20:00 - 25.08.2024 21:00,41027,-
25.08.2024 21:00 - 25.08.2024 22:00,40549,-
25.08.2024 22:00 - 25.08.2024 23:00,37722,-
25.08.2024 23:00 - 26.08.2024 00:00,35635,-
