Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
16.09.2024 00:00 - 16.09.2024 01:00,35850,-
16.09.2024 01:00 - 16.09.2024 02:00,34219,-
16.09.2024 02:00 - 16.09.2024 03:00,33748,-
16.09.2024 03:00 - 16.09.2024 04:00,35802,-
16.09.2024 04:00 - 16.09.2024 05:00,40752,-
16.09.2024 05:00 - 16.09.2024 06:00,45371,-
16.09.2024 06:00 - 16.09.2024 07:00,47356,-
16.09.2024 07:00 - 16.09.2024 08:00,48325,-
16.09.2024 08:00 - 16.09.2024 09:00,47800,-
16.09.2024 09:00 - 16.09.2024 10:00,47927,-
16.09.2024 10:00 - 16.09.2024 11:00,48584,-
16.09.2024 11:00 - 16.09.2024 12:00,47335,-
16.09.2024 12:00 - 16.09.2024 13:00,46247,-
16.09.2024 13:00 - 16.09.2024 14:00,45627,-
16.09.2024 14:00 - 16.09.2024 15:00,44130,-
16.09.2024 15:00 - 16.09.2024 16:00,43927,-
16.09.2024 16:00 - 16.09.2024 17:00,45426,-
16.09.2024 17:00 - 16.09.2024 18:00,47290,-
16.09.2024 18:00 - 16.09.2024 19:00,46982,-
16.09.2024 19:00 - 16.09.2024 20:00,44178,-
16.09.2024 20:00 - 16.09.2024 21:00,44020,-
16.09.2024 21:00 - 16.09.2024 22:00,43391,-
16.09.2024 22:00 - 16.09.2024 23:00,40256,-
16.09.2024 23:00 - 17.09.2024 00:00,38021,-
17.09.2024 00:00 - 17.09.2024 01:00,36884,-
17.09.2024 01:00 - 17.09.2024 02:00,35174,-
17.09.2024 02:00 - 17.09.2024 03:00,34498,-
17.09.2024 03:00 - 17.09.2024 04:00,36155,-
17.09.2024 04:00 - 17.09.2024 05:00,40778,-
17.09.2024 05:00 - 17.09.2024 06:00,45013,-
17.09.2024 06:00 - 17.09.2024 07:00,46735,-
17.09.2024 07:00 - 17.09.2024 08:00,47653,-
17.09.2024 08:00 - 17.09.2024 09:00,48523,-
17.09.2024 09:00 - 17.09.2024 10:00,49172,-
17.09.2024 10:00 - 17.09.2024 11:00,49541,-
17.09.2024 11:00 - 17.09.2024 12:00,48235,-
17.09.2024 12:00 - 17.09.2024 13:00,46929,-
17.09.2024 13:00 - 17.09.2024 14:00,45441,-
17.09.2024 14:00 - 17.09.2024 15:00,44705,-
17.09.2024 15:00 - 17.09.2024 16:00,44676,-
17.09.2024 16:00 - 17.09.2024 17:00,46468,-
17.09.2024 17:00 - 17.09.2024 18:00,48151,-
17.09.2024 18:00 - 17.09.2024 19:00,47186,-
17.09.2024 19:00 - 17.09.2024 20:00,44462,-
17.09.2024 20:00 - 17.09.2024 21:00,44273,-
17.09.2024 21:00 - 17.09.2024 22:00,43562,-
17.09.2024 22:00 - 17.09.2024 23:00,40447,-
17.09.2024 23:00 - 18.09.2024 00:00,38015,-
18.09.2024 00:00 - 18.09.2024 01:00,36946,-
18.09.2024 01:00 - 18.09.2024 02:00,35189,-
18.09.2024 02:00 - 18.09.2024 03:00,34513,-
18.09.2024 03:00 - 18.09.2024 04:00,36153,-
18.09.2024 04:00 - 18.09.2024 05:00,40603,-
18.09.2024 05:00 - 18.09.2024 06:00,44575,-
18.09.2024 06:00 - 18.09.2024 07:00,46525,-
18.09.2024 07:00 - 18.09.2024 08:00,47531,-
18.09.2024 08:00 - 18.09.2024 09:00,48161,-
18.09.2024 09:00 - 18.09.2024 10:00,48539,-
18.09.2024 10:00 - 18.09.2024 11:00,49195,-
18.09.2024 11:00 - 18.09.2024 12:00,48001,-
18.09.2024 12:00 - 18.09.2024 13:00,47167,-
18.09.2024 13:00 - 18.09.2024 14:00,45594,-
18.09.2024 14:00 - 18.09.2024 15:00,44379,-
18.09.2024 15:00 - 18.09.2024 16:00,44124,-
18.09.2024 16:00 - 18.09.2024 17:00,46413,-
18.09.2024 17:00 - 18.09.2024 18:00,48284,-
18.09.2024 18:00 - 18.09.2024 19:00,47535,-
18.09.2024 19:00 - 18.09.2024 20:00,44710,-
18.09.2024 20:00 - 18.09.2024 21:00,44674,-
18.09.2024 21:00 - 18.09.2024 22:00,43975,-
18.09.2024 22:00 - 18.09.2024 23:00,41021,-
18.09.2024 23:00 - 19.09.2024 00:00,38805,-
19.09.2024 00:00 - 19.09.2024 01:00,37596,-
19.09.2024 01:00 - 19.09.2024 02:00,35671,-
19.09.2024 02:00 - 19.09.2024 03:00,34946,-
19.09.2024 03:00 - 19.09.2024 04:00,36582,-
19.09.2024 04:00 - 19.09.2024 05:00,40982,-
19.09.2024 05:00 - 19.09.2024 06:00,45085,-
19.09.2024 06:00 - 19.09.2024 07:00,46468,-
19.09.2024 07:00 - 19.09.2024 08:00,47390,-
19.09.2024 08:00 - 19.09.2024 09:00,47575,-
19.09.2024 09:00 - 19.09.2024 10:00,48070,-
19.09.2024 10:00 - 19.09.2024 11:00,48783,-
19.09.2024 11:00 - 19.09.2024 12:00,47429,-
19.09.2024 12:00 - 19.09.2024 13:00,46565,-
19.09.2024 13:00 - 19.09.2024 14:00,45528,-
19.09.2024 14:00 - 19.09.2024 15:00,44447,-
19.09.2024 15:00 - 19.09.2024 16:00,44171,-
19.09.2024 16:00 - 19.09.2024 17:00,45728,-
19.09.2024 17:00 - 19.09.2024 18:00,47188,-
19.09.2024 18:00 - 19.09.2024 19:00,46173,-
19.09.2024 19:00 - 19.09.2024 20:00,43463,-
19.09.2024 20:00 - 19.09.2024 21:00,43190,-
19.09.2024 21:00 - 19.09.2024 22:00,42456,-
19.09.2024 22:00 - 19.09.2024 23:00,39733,-
19.09.2024 23:00 - 20.09.2024 00:00,37831,-
20.09.2024 00:00 - 20.09.2024 01:00,36707,-
20.09.2024 01:00 - 20.09.2024 02:00,35213,-
20.09.2024 02:00 - 20.09.2024 03:00,34683,-
20.09.2024 03:00 - 20.09.2024 04:00,36321,-
20.09.2024 04:00 - 20.09.2024 05:00,40583,-
20.09.2024 05:00 - 20.09.2024 06:00,44571,-
20.09.2024 06:00 - 20.09.2024 07:00,46219,-
20.09.2024 07:00 - 20.09.2024 08:00,47194,-
20.09.2024 08:00 - 20.09.2024 09:00,47238,-
20.09.2024 09:00 - 20.09.2024 10:00,47689,-
20.09.2024 10:00 - 20.09.2024 11:00,48634,-
20.09.2024 11:00 - 20.09.2024 12:00,47430,-
20.09.2024 12:00 - 20.09.2024 13:00,46382,-
20.09.2024 13:00 - 20.09.2024 14:00,45116,-
20.09.2024 14:00 - 20.09.2024 15:00,43803,-
20.09.2024 15:00 - 20.09.2024 16:00,43726,-
20.09.2024 16:00 - 20.09.2024 17:00,44882,-
20.09.2024 17:00 - 20.09.2024 18:00,45833,-
20.09.2024 18:00 - 20.09.2024 19:00,45248,-
20.09.2024 19:00 - 20.09.2024 20:00,42907,-
20.09.2024 20:00 - 20.09.2024 21:00,43258,-
20.09.2024 21:00 - 20.09.2024 22:00,42915,-
20.09.2024 22:00 - 20.09.2024 23:00,39979,-
