Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
02.09.2024 08:00 - 02.09.2024 09:00,47959,-
02.09.2024 09:00 - 02.09.2024 10:00,49337,-
02.09.2024 10:00 - 02.09.2024 11:00,50607,-
02.09.2024 11:00 - 02.09.2024 12:00,50005,-
02.09.2024 12:00 - 02.09.2024 13:00,49610,-
02.09.2024 13:00 - 02.09.2024 14:00,48676,-
02.09.2024 14:00 - 02.09.2024 15:00,47225,-
02.09.2024 15:00 - 02.09.2024 16:00,46799,-
02.09.2024 16:00 - 02.09.2024 17:00,47760,-
02.09.2024 17:00 - 02.09.2024 18:00,48305,-
02.09.2024 18:00 - 02.09.2024 19:00,46671,-
02.09.2024 19:00 - 02.09.2024 20:00,45069,-
02.09.2024 20:00 - 02.09.2024 21:00,44860,-
02.09.2024 21:00 - 02.09.2024 22:00,43986,-
02.09.2024 22:00 - 02.09.2024 23:00,40759,-
02.09.2024 23:00 - 03.09.2024 00:00,38494,-
03.09.2024 00:00 - 03.09.2024 01:00,37201,-
03.09.2024 01:00 - 03.09.2024 02:00,35546,-
03.09.2024 02:00 - 03.09.2024 03:00,34849,-
03.09.2024 03:00 - 03.09.2024 04:00,36496,-
03.09.2024 04:00 - 03.09.2024 05:00,40137,-
03.09.2024 05:00 - 03.09.2024 06:00,43697,-
03.09.2024 06:00 - 03.09.2024 07:00,45958,-
03.09.2024 07:00 - 03.09.2024 08:00,47789,-
03.09.2024 08:00 - 03.09.2024 09:00,48585,-
03.09.2024 09:00 - 03.09.2024 10:00,49573,-
03.09.2024 10:00 - 03.09.2024 11:00,50644,-
03.09.2024 11:00 - 03.09.2024 12:00,49608,-
03.09.2024 12:00 - 03.09.2024 13:00,48626,-
03.09.2024 13:00 - 03.09.2024 14:00,47596,-
03.09.2024 14:00 - 03.09.2024 15:00,46748,-
03.09.2024 15:00 - 03.09.2024 16:00,46376,-
03.09.2024 16:00 - 03.09.2024 17:00,46909,-
03.09.2024 17:00 - 03.09.2024 18:00,47380,-
03.09.2024 18:00 - 03.09.2024 19:00,45833,-
03.09.2024 19:00 - 03.09.2024 20:00,44117,-
03.09.2024 20:00 - 03.09.2024 21:00,44073,-
03.09.2024 21:00 - 03.09.2024 22:00,43202,-
