"Time (UTC)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"01.01.2024 00:00 - 01.01.2024 01:00","52900","52846"
"01.01.2024 01:00 - 01.01.2024 02:00","51850","51599"
"01.01.2024 02:00 - 01.01.2024 03:00","49250","50992"
"01.01.2024 03:00 - 01.01.2024 04:00","47050","48186"
"01.01.2024 04:00 - 01.01.2024 05:00","46150","46478"
"01.01.2024 05:00 - 01.01.2024 06:00","45500","46285"
"01.01.2024 06:00 - 01.01.2024 07:00","45100","46633"
"01.01.2024 07:00 - 01.01.2024 08:00","45300","46820"
"01.01.2024 08:00 - 01.01.2024 09:00","45650","46877"
"01.01.2024 09:00 - 01.01.2024 10:00","47850","47690"
"01.01.2024 10:00 - 01.01.2024 11:00","50550","49158"
"01.01.2024 11:00 - 01.01.2024 12:00","51300","50275"
"01.01.2024 12:00 - 01.01.2024 13:00","50000","50897"
"01.01.2024 13:00 - 01.01.2024 14:00","48900","49197"
"01.01.2024 14:00 - 01.01.2024 15:00","47900","48355"
"01.01.2024 15:00 - 01.01.2024 16:00","47200","47879"
"01.01.2024 16:00 - 01.01.2024 17:00","49300","47634"
"01.01.2024 17:00 - 01.01.2024 18:00","52300","50762"
"01.01.2024 18:00 - 01.01.2024 19:00","53900","53966"
"01.01.2024 19:00 - 01.01.2024 20:00","52550","54973"
"01.01.2024 20:00 - 01.01.2024 21:00","51150","53641"
"01.01.2024 21:00 - 01.01.2024 22:00","50850","52243"
"01.01.2024 22:00 - 01.01.2024 23:00","52750","53035"
"01.01.2024 23:00 - 02.01.2024 00:00","49600","53157"
"02.01.2024 00:00 - 02.01.2024 01:00","47650","50831"
"02.01.2024 01:00 - 02.01.2024 02:00","47500","49234"
"02.01.2024 02:00 - 02.01.2024 03:00","45500","48397"
"02.01.2024 03:00 - 02.01.2024 04:00","44200","46147"
"02.01.2024 04:00 - 02.01.2024 05:00","44550","45319"
"02.01.2024 05:00 - 02.01.2024 06:00","47150","46963"
"02.01.2024 06:00 - 02.01.2024 07:00","50550","50315"
"02.01.2024 07:00 - 02.01.2024 08:00","52950","53488"
"02.01.2024 08:00 - 02.01.2024 09:00","54550","55848"
"02.01.2024 09:00 - 02.01.2024 10:00","56400","57652"
"02.01.2024 10:00 - 02.01.2024 11:00","57750","59159"
"02.01.2024 11:00 - 02.01.2024 12:00","59400","60576"
"02.01.2024 12:00 - 02.01.2024 13:00","57750","61433"
"02.01.2024 13:00 - 02.01.2024 14:00","56550","60079"
"02.01.2024 14:00 - 02.01.2024 15:00","55250","59888"
"02.01.2024 15:00 - 02.01.2024 16:00","54100","58746"
"02.01.2024 16:00 - 02.01.2024 17:00","55500","57432"
"02.01.2024 17:00 - 02.01.2024 18:00","58050","58779"
"02.01.2024 18:00 - 02.01.2024 19:00","59000","61041"
"02.01.2024 19:00 - 02.01.2024 20:00","56350","61209"
"02.01.2024 20:00 - 02.01.2024 21:00","53500","58058"
"02.01.2024 21:00 - 02.01.2024 22:00","52100","55018"
"02.01.2024 22:00 - 02.01.2024 23:00","53050","54962"
"02.01.2024 23:00 - 03.01.2024 00:00","52500","54615"
"03.01.2024 00:00 - 03.01.2024 01:00","50100","52057"
"03.01.2024 01:00 - 03.01.2024 02:00","49550","50384"
"03.01.2024 02:00 - 03.01.2024 03:00","47050","49377"
"03.01.2024 03:00 - 03.01.2024 04:00","45850","47163"
"03.01.2024 04:00 - 03.01.2024 05:00","47150","46297"
"03.01.2024 05:00 - 03.01.2024 06:00","50600","47998"
"03.01.2024 06:00 - 03.01.2024 07:00","54300","52067"
"03.01.2024 07:00 - 03.01.2024 08:00","57800","55582"
"03.01.2024 08:00 - 03.01.2024 09:00","59150","58222"
"03.01.2024 09:00 - 03.01.2024 10:00","60400","59456"
"03.01.2024 10:00 - 03.01.2024 11:00","60850","60023"
"03.01.2024 11:00 - 03.01.2024 12:00","61500","60811"
"03.01.2024 12:00 - 03.01.2024 13:00","59750","60734"
"03.01.2024 13:00 - 03.01.2024 14:00","58450","59066"
"03.01.2024 14:00 - 03.01.2024 15:00","57600","58893"
"03.01.2024 15:00 - 03.01.2024 16:00","56600","57683"
"03.01.2024 16:00 - 03.01.2024 17:00","58550","56846"
"03.01.2024 17:00 - 03.01.2024 18:00","61400","58997"
"03.01.2024 18:00 - 03.01.2024 19:00","62400","61694"
"03.01.2024 19:00 - 03.01.2024 20:00","59500","62083"
"03.01.2024 20:00 - 03.01.2024 21:00","55950","58887"
"03.01.2024 21:00 - 03.01.2024 22:00","54550","55722"
"03.01.2024 22:00 - 03.01.2024 23:00","56550","55782"
"03.01.2024 23:00 - 04.01.2024 00:00","54600","55518"
"04.01.2024 00:00 - 04.01.2024 01:00","52500","53125"
"04.01.2024 01:00 - 04.01.2024 02:00","52050","51288"
"04.01.2024 02:00 - 04.01.2024 03:00","49500","50468"
"04.01.2024 03:00 - 04.01.2024 04:00","48050","48259"
"04.01.2024 04:00 - 04.01.2024 05:00","49250","47341"
"04.01.2024 05:00 - 04.01.2024 06:00","53050","49267"
"04.01.2024 06:00 - 04.01.2024 07:00","57300","53287"
"04.01.2024 07:00 - 04.01.2024 08:00","60850","57124"
"04.01.2024 08:00 - 04.01.2024 09:00","62200","60152"
"04.01.2024 09:00 - 04.01.2024 10:00","63000","60875"
"04.01.2024 10:00 - 04.01.2024 11:00","63350","61051"
"04.01.2024 11:00 - 04.01.2024 12:00","63300","61338"
"04.01.2024 12:00 - 04.01.2024 13:00","61700","60736"
"04.01.2024 13:00 - 04.01.2024 14:00","61700","58823"
"04.01.2024 14:00 - 04.01.2024 15:00","60450","58079"
"04.01.2024 15:00 - 04.01.2024 16:00","58850","57161"
"04.01.2024 16:00 - 04.01.2024 17:00","59800","56459"
"04.01.2024 17:00 - 04.01.2024 18:00","63000","58761"
"04.01.2024 18:00 - 04.01.2024 19:00","63900","61750"
"04.01.2024 19:00 - 04.01.2024 20:00","61050","62119"
"04.01.2024 20:00 - 04.01.2024 21:00","57600","58944"
"04.01.2024 21:00 - 04.01.2024 22:00","56100","56197"
"04.01.2024 22:00 - 04.01.2024 23:00","58050","56465"
"04.01.2024 23:00 - 05.01.2024 00:00","54400","56199"
"05.01.2024 00:00 - 05.01.2024 01:00","52050","53665"
"05.01.2024 01:00 - 05.01.2024 02:00","51700","51800"
"05.01.2024 02:00 - 05.01.2024 03:00","49200","51002"
"05.01.2024 03:00 - 05.01.2024 04:00","48150","48916"
"05.01.2024 04:00 - 05.01.2024 05:00","48650","48163"
"05.01.2024 05:00 - 05.01.2024 06:00","52100","50245"
"05.01.2024 06:00 - 05.01.2024 07:00","56200","54105"
"05.01.2024 07:00 - 05.01.2024 08:00","59350","57937"
"05.01.2024 08:00 - 05.01.2024 09:00","60650","60998"
"05.01.2024 09:00 - 05.01.2024 10:00","61500","62376"
"05.01.2024 10:00 - 05.01.2024 11:00","61800","62854"
"05.01.2024 11:00 - 05.01.2024 12:00","61700","63285"
"05.01.2024 12:00 - 05.01.2024 13:00","59650","62680"
"05.01.2024 13:00 - 05.01.2024 14:00","59150","60656"
"05.01.2024 14:00 - 05.01.2024 15:00","57650","60136"
"05.01.2024 15:00 - 05.01.2024 16:00","56250","59026"
"05.01.2024 16:00 - 05.01.2024 17:00","57150","58096"
"05.01.2024 17:00 - 05.01.2024 18:00","60650","60568"
"05.01.2024 18:00 - 05.01.2024 19:00","61750","63465"
"05.01.2024 19:00 - 05.01.2024 20:00","58800","63538"
"05.01.2024 20:00 - 05.01.2024 21:00","55750","60646"
"05.01.2024 21:00 - 05.01.2024 22:00","54500","58149"
"05.01.2024 22:00 - 05.01.2024 23:00","56700","58514"
"05.01.2024 23:00 - 06.01.2024 00:00","57000","58566"
"06.01.2024 00:00 - 06.01.2024 01:00","54650","56315"
"06.01.2024 01:00 - 06.01.2024 02:00","54200","54622"
"06.01.2024 02:00 - 06.01.2024 03:00","51750","53584"
"06.01.2024 03:00 - 06.01.2024 04:00","50100","51212"
"06.01.2024 04:00 - 06.01.2024 05:00","49850","49669"
"06.01.2024 05:00 - 06.01.2024 06:00","51150","49984"
"06.01.2024 06:00 - 06.01.2024 07:00","53400","51495"
"06.01.2024 07:00 - 06.01.2024 08:00","55600","53366"
"06.01.2024 08:00 - 06.01.2024 09:00","57500","55416"
"06.01.2024 09:00 - 06.01.2024 10:00","59100","57696"
"06.01.2024 10:00 - 06.01.2024 11:00","59800","59425"
"06.01.2024 11:00 - 06.01.2024 12:00","60450","60193"
"06.01.2024 12:00 - 06.01.2024 13:00","58500","60745"
"06.01.2024 13:00 - 06.01.2024 14:00","57150","58771"
"06.01.2024 14:00 - 06.01.2024 15:00","56750","57933"
"06.01.2024 15:00 - 06.01.2024 16:00","55900","57089"
"06.01.2024 16:00 - 06.01.2024 17:00","57250","56276"
"06.01.2024 17:00 - 06.01.2024 18:00","60250","58674"
"06.01.2024 18:00 - 06.01.2024 19:00","61550","61731"
"06.01.2024 19:00 - 06.01.2024 20:00","60200","62439"
"06.01.2024 20:00 - 06.01.2024 21:00","58350","60171"
"06.01.2024 21:00 - 06.01.2024 22:00","57950","57888"
"06.01.2024 22:00 - 06.01.2024 23:00","59300","58733"
"06.01.2024 23:00 - 07.01.2024 00:00","57300","59165"
"07.01.2024 00:00 - 07.01.2024 01:00","54700","57066"
"07.01.2024 01:00 - 07.01.2024 02:00","54350","55416"
"07.01.2024 02:00 - 07.01.2024 03:00","51600","54491"
"07.01.2024 03:00 - 07.01.2024 04:00","50100","52059"
"07.01.2024 04:00 - 07.01.2024 05:00","50050","50455"
"07.01.2024 05:00 - 07.01.2024 06:00","51050","50817"
"07.01.2024 06:00 - 07.01.2024 07:00","52650","51905"
"07.01.2024 07:00 - 07.01.2024 08:00","54750","53393"
"07.01.2024 08:00 - 07.01.2024 09:00","57100","55146"
"07.01.2024 09:00 - 07.01.2024 10:00","60000","57802"
"07.01.2024 10:00 - 07.01.2024 11:00","61700","60531"
"07.01.2024 11:00 - 07.01.2024 12:00","63800","62324"
"07.01.2024 12:00 - 07.01.2024 13:00","62550","63705"
"07.01.2024 13:00 - 07.01.2024 14:00","61600","61564"
"07.01.2024 14:00 - 07.01.2024 15:00","61350","60613"
"07.01.2024 15:00 - 07.01.2024 16:00","59850","59790"
"07.01.2024 16:00 - 07.01.2024 17:00","61600","59040"
"07.01.2024 17:00 - 07.01.2024 18:00","65150","61441"
"07.01.2024 18:00 - 07.01.2024 19:00","67000","65507"
"07.01.2024 19:00 - 07.01.2024 20:00","65450","66884"
"07.01.2024 20:00 - 07.01.2024 21:00","63250","64693"
"07.01.2024 21:00 - 07.01.2024 22:00","61900","62628"
"07.01.2024 22:00 - 07.01.2024 23:00","63300","62894"
"07.01.2024 23:00 - 08.01.2024 00:00","60900","62801"
"08.01.2024 00:00 - 08.01.2024 01:00","58450","60632"
"08.01.2024 01:00 - 08.01.2024 02:00","58600","59142"
"08.01.2024 02:00 - 08.01.2024 03:00","57100","58780"
"08.01.2024 03:00 - 08.01.2024 04:00","56650","57014"
"08.01.2024 04:00 - 08.01.2024 05:00","58650","56557"
"08.01.2024 05:00 - 08.01.2024 06:00","63550","59549"
"08.01.2024 06:00 - 08.01.2024 07:00","70850","65470"
"08.01.2024 07:00 - 08.01.2024 08:00","75500","71081"
"08.01.2024 08:00 - 08.01.2024 09:00","76650","74112"
"08.01.2024 09:00 - 08.01.2024 10:00","77050","75721"
"08.01.2024 10:00 - 08.01.2024 11:00","77000","76521"
"08.01.2024 11:00 - 08.01.2024 12:00","77150","77504"
"08.01.2024 12:00 - 08.01.2024 13:00","74850","77224"
"08.01.2024 13:00 - 08.01.2024 14:00","74350","75642"
"08.01.2024 14:00 - 08.01.2024 15:00","73600","75575"
"08.01.2024 15:00 - 08.01.2024 16:00","72850","74755"
"08.01.2024 16:00 - 08.01.2024 17:00","74400","73624"
"08.01.2024 17:00 - 08.01.2024 18:00","78200","75797"
"08.01.2024 18:00 - 08.01.2024 19:00","79100","79461"
"08.01.2024 19:00 - 08.01.2024 20:00","75750","79936"
"08.01.2024 20:00 - 08.01.2024 21:00","71900","76031"
"08.01.2024 21:00 - 08.01.2024 22:00","69950","72578"
"08.01.2024 22:00 - 08.01.2024 23:00","71650","72429"
"08.01.2024 23:00 - 09.01.2024 00:00","69150","71950"
"09.01.2024 00:00 - 09.01.2024 01:00","67000","69499"
"09.01.2024 01:00 - 09.01.2024 02:00","67050","68501"
"09.01.2024 02:00 - 09.01.2024 03:00","64400","68037"
"09.01.2024 03:00 - 09.01.2024 04:00","62950","65869"
"09.01.2024 04:00 - 09.01.2024 05:00","64500","65146"
"09.01.2024 05:00 - 09.01.2024 06:00","69000","67827"
"09.01.2024 06:00 - 09.01.2024 07:00","75300","73086"
"09.01.2024 07:00 - 09.01.2024 08:00","79000","78224"
"09.01.2024 08:00 - 09.01.2024 09:00","79900","80767"
"09.01.2024 09:00 - 09.01.2024 10:00","79800","81582"
"09.01.2024 10:00 - 09.01.2024 11:00","79700","81775"
"09.01.2024 11:00 - 09.01.2024 12:00","79550","82149"
"09.01.2024 12:00 - 09.01.2024 13:00","77350","81338"
"09.01.2024 13:00 - 09.01.2024 14:00","76800","79528"
"09.01.2024 14:00 - 09.01.2024 15:00","75400","78652"
"09.01.2024 15:00 - 09.01.2024 16:00","74900","77163"
"09.01.2024 16:00 - 09.01.2024 17:00","76200","76341"
"09.01.2024 17:00 - 09.01.2024 18:00","79300","78499"
"09.01.2024 18:00 - 09.01.2024 19:00","80700","82077"
"09.01.2024 19:00 - 09.01.2024 20:00","77450","82482"
"09.01.2024 20:00 - 09.01.2024 21:00","73450","78944"
"09.01.2024 21:00 - 09.01.2024 22:00","71600","75305"
"09.01.2024 22:00 - 09.01.2024 23:00","73850","74965"
"09.01.2024 23:00 - 10.01.2024 00:00","73750","74208"
"10.01.2024 00:00 - 10.01.2024 01:00","71600","71664"
"10.01.2024 01:00 - 10.01.2024 02:00","71850","70545"
"10.01.2024 02:00 - 10.01.2024 03:00","68950","69886"
"10.01.2024 03:00 - 10.01.2024 04:00","67600","67618"
"10.01.2024 04:00 - 10.01.2024 05:00","68750","66635"
"10.01.2024 05:00 - 10.01.2024 06:00","73300","68896"
"10.01.2024 06:00 - 10.01.2024 07:00","78600","73657"
"10.01.2024 07:00 - 10.01.2024 08:00","82600","78399"
"10.01.2024 08:00 - 10.01.2024 09:00","83800","81460"
"10.01.2024 09:00 - 10.01.2024 10:00","84300","82433"
"10.01.2024 10:00 - 10.01.2024 11:00","84150","82420"
"10.01.2024 11:00 - 10.01.2024 12:00","84100","82436"
"10.01.2024 12:00 - 10.01.2024 13:00","82000","82800"
"10.01.2024 13:00 - 10.01.2024 14:00","81050","80624"
"10.01.2024 14:00 - 10.01.2024 15:00","79950","79902"
"10.01.2024 15:00 - 10.01.2024 16:00","78250","78439"
"10.01.2024 16:00 - 10.01.2024 17:00","79150","77311"
"10.01.2024 17:00 - 10.01.2024 18:00","83200","79049"
"10.01.2024 18:00 - 10.01.2024 19:00","84450","82583"
"10.01.2024 19:00 - 10.01.2024 20:00","81100","82504"
"10.01.2024 20:00 - 10.01.2024 21:00","77350","78338"
"10.01.2024 21:00 - 10.01.2024 22:00","75350","74551"
"10.01.2024 22:00 - 10.01.2024 23:00","77100","74231"
"10.01.2024 23:00 - 11.01.2024 00:00","72900","73546"
"11.01.2024 00:00 - 11.01.2024 01:00","70850","71307"
"11.01.2024 01:00 - 11.01.2024 02:00","70800","70114"
"11.01.2024 02:00 - 11.01.2024 03:00","68000","69626"
"11.01.2024 03:00 - 11.01.2024 04:00","66550","67616"
"11.01.2024 04:00 - 11.01.2024 05:00","68150","66670"
"11.01.2024 05:00 - 11.01.2024 06:00","72600","68986"
"11.01.2024 06:00 - 11.01.2024 07:00","78450","74095"
"11.01.2024 07:00 - 11.01.2024 08:00","82600","78918"
"11.01.2024 08:00 - 11.01.2024 09:00","83350","81054"
"11.01.2024 09:00 - 11.01.2024 10:00","82950","81640"
"11.01.2024 10:00 - 11.01.2024 11:00","82550","81183"
"11.01.2024 11:00 - 11.01.2024 12:00","82350","80882"
"11.01.2024 12:00 - 11.01.2024 13:00","80500","78896"
"11.01.2024 13:00 - 11.01.2024 14:00","80200","75928"
"11.01.2024 14:00 - 11.01.2024 15:00","78000","74500"
"11.01.2024 15:00 - 11.01.2024 16:00","75150","73000"
"11.01.2024 16:00 - 11.01.2024 17:00","76650","72313"
"11.01.2024 17:00 - 11.01.2024 18:00","81400","75312"
"11.01.2024 18:00 - 11.01.2024 19:00","83500","79401"
"11.01.2024 19:00 - 11.01.2024 20:00","80200","79979"
"11.01.2024 20:00 - 11.01.2024 21:00","76550","76710"
"11.01.2024 21:00 - 11.01.2024 22:00","74600","73435"
"11.01.2024 22:00 - 11.01.2024 23:00","75750","73598"
"11.01.2024 23:00 - 12.01.2024 00:00","71300","73210"
"12.01.2024 00:00 - 12.01.2024 01:00","69250","70876"
"12.01.2024 01:00 - 12.01.2024 02:00","69300","69624"
"12.01.2024 02:00 - 12.01.2024 03:00","67150","69037"
"12.01.2024 03:00 - 12.01.2024 04:00","66100","66776"
"12.01.2024 04:00 - 12.01.2024 05:00","67150","65786"
"12.01.2024 05:00 - 12.01.2024 06:00","71300","68027"
"12.01.2024 06:00 - 12.01.2024 07:00","76800","72888"
"12.01.2024 07:00 - 12.01.2024 08:00","79500","77834"
"12.01.2024 08:00 - 12.01.2024 09:00","80550","80174"
"12.01.2024 09:00 - 12.01.2024 10:00","80300","80469"
"12.01.2024 10:00 - 12.01.2024 11:00","79200","80220"
"12.01.2024 11:00 - 12.01.2024 12:00","77650","80094"
"12.01.2024 12:00 - 12.01.2024 13:00","74450","78846"
"12.01.2024 13:00 - 12.01.2024 14:00","73100","76500"
"12.01.2024 14:00 - 12.01.2024 15:00","70900","75250"
"12.01.2024 15:00 - 12.01.2024 16:00","69500","73674"
"12.01.2024 16:00 - 12.01.2024 17:00","71300","72331"
