Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
05.08.2024 07:00 - 05.08.2024 08:00,43091,-
05.08.2024 08:00 - 05.08.2024 09:00,44636,-
05.08.2024 09:00 - 05.08.2024 10:00,45935,-
05.08.2024 10:00 - 05.08.2024 11:00,47735,-
05.08.2024 11:00 - 05.08.2024 12:00,47185,-
05.08.2024 12:00 - 05.08.2024 13:00,46687,-
05.08.2024 13:00 - 05.08.2024 14:00,45890,-
05.08.2024 14:00 - 05.08.2024 15:00,45093,-
05.08.2024 15:00 - 05.08.2024 16:00,44869,-
05.08.2024 16:00 - 05.08.2024 17:00,45675,-
05.08.2024 17:00 - 05.08.2024 18:00,46210,-
05.08.2024 18:00 - 05.08.2024 19:00,44589,-
05.08.2024 19:00 - 05.08.2024 20:00,43881,-
05.08.2024 20:00 - 05.08.2024 21:00,45009,-
05.08.2024 21:00 - 05.08.2024 22:00,43720,-
05.08.2024 22:00 - 05.08.2024 23:00,40026,-
05.08.2024 23:00 - 06.08.2024 00:00,37687,-
06.08.2024 00:00 - 06.08.2024 01:00,36235,-
06.08.2024 01:00 - 06.08.2024 02:00,34531,-
06.08.2024 02:00 - 06.08.2024 03:00,33779,-
06.08.2024 03:00 - 06.08.2024 04:00,34681,-
06.08.2024 04:00 - 06.08.2024 05:00,36583,-
06.08.2024 05:00 - 06.08.2024 06:00,38817,-
06.08.2024 06:00 - 06.08.2024 07:00,41787,-
06.08.2024 07:00 - 06.08.2024 08:00,44083,-
06.08.2024 08:00 - 06.08.2024 09:00,45694,-
06.08.2024 09:00 - 06.08.2024 10:00,46789,-
06.08.2024 10:00 - 06.08.2024 11:00,48381,-
06.08.2024 11:00 - 06.08.2024 12:00,47657,-
06.08.2024 12:00 - 06.08.2024 13:00,47238,-
06.08.2024 13:00 - 06.08.2024 14:00,46432,-
06.08.2024 14:00 - 06.08.2024 15:00,45837,-
06.08.2024 15:00 - 06.08.2024 16:00,45639,-
06.08.2024 16:00 - 06.08.2024 17:00,46200,-
06.08.2024 17:00 - 06.08.2024 18:00,46440,-
06.08.2024 18:00 - 06.08.2024 19:00,44519,-
06.08.2024 19:00 - 06.08.2024 20:00,43880,-
06.08.2024 20:00 - 06.08.2024 21:00,44902,-
06.08.2024 21:00 - 06.08.2024 22:00,43732,-
06.08.2024 22:00 - 06.08.2024 23:00,40227,-
06.08.2024 23:00 - 07.08.2024 00:00,37842,-
07.08.2024 00:00 - 07.08.2024 01:00,36360,-
07.08.2024 01:00 - 07.08.2024 02:00,34676,-
07.08.2024 02:00 - 07.08.2024 03:00,33944,-
07.08.2024 03:00 - 07.08.2024 04:00,34849,-
07.08.2024 04:00 - 07.08.2024 05:00,36583,-
07.08.2024 05:00 - 07.08.2024 06:00,38746,-
07.08.2024 06:00 - 07.08.2024 07:00,41713,-
07.08.2024 07:00 - 07.08.2024 08:00,43864,-
07.08.2024 08:00 - 07.08.2024 09:00,44995,-
07.08.2024 09:00 - 07.08.2024 10:00,45964,-
07.08.2024 10:00 - 07.08.2024 11:00,47367,-
07.08.2024 11:00 - 07.08.2024 12:00,46169,-
07.08.2024 12:00 - 07.08.2024 13:00,45319,-
07.08.2024 13:00 - 07.08.2024 14:00,44398,-
07.08.2024 14:00 - 07.08.2024 15:00,43877,-
07.08.2024 15:00 - 07.08.2024 16:00,43678,-
07.08.2024 16:00 - 07.08.2024 17:00,44690,-
07.08.2024 17:00 - 07.08.2024 18:00,45219,-
07.08.2024 18:00 - 07.08.2024 19:00,43884,-
07.08.2024 19:00 - 07.08.2024 20:00,43397,-
07.08.2024 20:00 - 07.08.2024 21:00,44436,-
07.08.2024 21:00 - 07.08.2024 22:00,43409,-
07.08.2024 22:00 - 07.08.2024 23:00,39956,-
07.08.2024 23:00 - 08.08.2024 00:00,37120,-
08.08.2024 00:00 - 08.08.2024 01:00,35984,-
08.08.2024 01:00 - 08.08.2024 02:00,34340,-
08.08.2024 02:00 - 08.08.2024 03:00,33654,-
08.08.2024 03:00 - 08.08.2024 04:00,34570,-
08.08.2024 04:00 - 08.08.2024 05:00,36428,-
08.08.2024 05:00 - 08.08.2024 06:00,38583,-
08.08.2024 06:00 - 08.08.2024 07:00,41486,-
08.08.2024 07:00 - 08.08.2024 08:00,43743,-
08.08.2024 08:00 - 08.08.2024 09:00,45122,-
08.08.2024 09:00 - 08.08.2024 10:00,46264,-
08.08.2024 10:00 - 08.08.2024 11:00,47834,-
08.08.2024 11:00 - 08.08.2024 12:00,46938,-
08.08.2024 12:00 - 08.08.2024 13:00,46326,-
08.08.2024 13:00 - 08.08.2024 14:00,45573,-
08.08.2024 14:00 - 08.08.2024 15:00,44902,-
08.08.2024 15:00 - 08.08.2024 16:00,44853,-
08.08.2024 16:00 - 08.08.2024 17:00,45613,-
08.08.2024 17:00 - 08.08.2024 18:00,45935,-
08.08.2024 18:00 - 08.08.2024 19:00,44515,-
08.08.2024 19:00 - 08.08.2024 20:00,44007,-
08.08.2024 20:00 - 08.08.2024 21:00,44940,-
08.08.2024 21:00 - 08.08.2024 22:00,43645,-
08.08.2024 22:00 - 08.08.2024 23:00,40273,-
08.08.2024 23:00 - 09.08.2024 00:00,37925,-
09.08.2024 00:00 - 09.08.2024 01:00,36424,-
09.08.2024 01:00 - 09.08.2024 02:00,34709,-
09.08.2024 02:00 - 09.08.2024 03:00,33929,-
09.08.2024 03:00 - 09.08.2024 04:00,34603,-
09.08.2024 04:00 - 09.08.2024 05:00,36516,-
09.08.2024 05:00 - 09.08.2024 06:00,38460,-
09.08.2024 06:00 - 09.08.2024 07:00,40992,-
09.08.2024 07:00 - 09.08.2024 08:00,43305,-
09.08.2024 08:00 - 09.08.2024 09:00,44561,-
09.08.2024 09:00 - 09.08.2024 10:00,45521,-
09.08.2024 10:00 - 09.08.2024 11:00,47054,-
09.08.2024 11:00 - 09.08.2024 12:00,46589,-
09.08.2024 12:00 - 09.08.2024 13:00,45782,-
09.08.2024 13:00 - 09.08.2024 14:00,44918,-
09.08.2024 14:00 - 09.08.2024 15:00,44364,-
09.08.2024 15:00 - 09.08.2024 16:00,44412,-
09.08.2024 16:00 - 09.08.2024 17:00,44995,-
