Time (UTC),Actual Total Load [MW] - France (FR),Day-ahead Total Load Forecast [MW] - France (FR)
26.08.2024 00:00 - 26.08.2024 01:00,34453,-
26.08.2024 01:00 - 26.08.2024 02:00,32815,-
26.08.2024 02:00 - 26.08.2024 03:00,32386,-
26.08.2024 03:00 - 26.08.2024 04:00,33989,-
26.08.2024 04:00 - 26.08.2024 05:00,36904,-
26.08.2024 05:00 - 26.08.2024 06:00,39710,-
26.08.2024 06:00 - 26.08.2024 07:00,42543,-
26.08.2024 07:00 - 26.08.2024 08:00,44766,-
26.08.2024 08:00 - 26.08.2024 09:00,45818,-
26.08.2024 09:00 - 26.08.2024 10:00,46870,-
26.08.2024 10:00 - 26.08.2024 11:00,48426,-
26.08.2024 11:00 - 26.08.2024 12:00,47730,-
26.08.2024 12:00 - 26.08.2024 13:00,46903,-
26.08.2024 13:00 - 26.08.2024 14:00,45825,-
26.08.2024 14:00 - 26.08.2024 15:00,44886,-
26.08.2024 15:00 - 26.08.2024 16:00,44433,-
26.08.2024 16:00 - 26.08.2024 17:00,45513,-
26.08.2024 17:00 - 26.08.2024 18:00,46448,-
26.08.2024 18:00 - 26.08.2024 19:00,45211,-
26.08.2024 19:00 - 26.08.2024 20:00,44373,-
26.08.2024 20:00 - 26.08.2024 21:00,44308,-
26.08.2024 21:00 - 26.08.2024 22:00,43451,-
26.08.2024 22:00 - 26.08.2024 23:00,40256,-
26.08.2024 23:00 - 27.08.2024 00:00,38002,-
27.08.2024 00:00 - 27.08.2024 01:00,36711,-
27.08.2024 01:00 - 27.08.2024 02:00,34984,-
27.08.2024 02:00 - 27.08.2024 03:00,34304,-
27.08.2024 03:00 - 27.08.2024 04:00,35697,-
27.08.2024 04:00 - 27.08.2024 05:00,38359,-
27.08.2024 05:00 - 27.08.2024 06:00,40983,-
27.08.2024 06:00 - 27.08.2024 07:00,43808,-
27.08.2024 07:00 - 27.08.2024 08:00,45903,-
27.08.2024 08:00 - 27.08.2024 09:00,47215,-
27.08.2024 09:00 - 27.08.2024 10:00,48208,-
27.08.2024 10:00 - 27.08.2024 11:00,49319,-
27.08.2024 11:00 - 27.08.2024 12:00,48614,-
27.08.2024 12:00 - 27.08.2024 13:00,48269,-
27.08.2024 13:00 - 27.08.2024 14:00,47364,-
27.08.2024 14:00 - 27.08.2024 15:00,46707,-
27.08.2024 15:00 - 27.08.2024 16:00,46382,-
27.08.2024 16:00 - 27.08.2024 17:00,47323,-
27.08.2024 17:00 - 27.08.2024 18:00,47818,-
27.08.2024 18:00 - 27.08.2024 19:00,46507,-
27.08.2024 19:00 - 27.08.2024 20:00,45579,-
27.08.2024 20:00 - 27.08.2024 21:00,45401,-
27.08.2024 21:00 - 27.08.2024 22:00,44360,-
27.08.2024 22:00 - 27.08.2024 23:00,41150,-
27.08.2024 23:00 - 28.08.2024 00:00,38842,-
28.08.2024 00:00 - 28.08.2024 01:00,37483,-
28.08.2024 01:00 - 28.08.2024 02:00,35647,-
28.08.2024 02:00 - 28.08.2024 03:00,34923,-
28.08.2024 03:00 - 28.08.2024 04:00,36183,-
28.08.2024 04:00 - 28.08.2024 05:00,38918,-
28.08.2024 05:00 - 28.08.2024 06:00,41462,-
28.08.2024 06:00 - 28.08.2024 07:00,44329,-
28.08.2024 07:00 - 28.08.2024 08:00,46789,-
28.08.2024 08:00 - 28.08.2024 09:00,48421,-
28.08.2024 09:00 - 28.08.2024 10:00,49851,-
28.08.2024 10:00 - 28.08.2024 11:00,51200,-
28.08.2024 11:00 - 28.08.2024 12:00,50889,-
28.08.2024 12:00 - 28.08.2024 13:00,50392,-
28.08.2024 13:00 - 28.08.2024 14:00,49536,-
28.08.2024 14:00 - 28.08.2024 15:00,48828,-
28.08.2024 15:00 - 28.08.2024 16:00,48060,-
28.08.2024 16:00 - 28.08.2024 17:00,48747,-
28.08.2024 17:00 - 28.08.2024 18:00,49134,-
28.08.2024 18:00 - 28.08.2024 19:00,47741,-
28.08.2024 19:00 - 28.08.2024 20:00,46638,-
28.08.2024 20:00 - 28.08.2024 21:00,46710,-
28.08.2024 21:00 - 28.08.2024 22:00,45610,-
28.08.2024 22:00 - 28.08.2024 23:00,42177,-
28.08.2024 23:00 - 29.08.2024 00:00,39812,-
29.08.2024 00:00 - 29.08.2024 01:00,38172,-
29.08.2024 01:00 - 29.08.2024 02:00,36216,-
29.08.2024 02:00 - 29.08.2024 03:00,35568,-
29.08.2024 03:00 - 29.08.2024 04:00,36956,-
29.08.2024 04:00 - 29.08.2024 05:00,39845,-
29.08.2024 05:00 - 29.08.2024 06:00,42139,-
29.08.2024 06:00 - 29.08.2024 07:00,45074,-
29.08.2024 07:00 - 29.08.2024 08:00,47477,-
29.08.2024 08:00 - 29.08.2024 09:00,49301,-
29.08.2024 09:00 - 29.08.2024 10:00,50829,-
29.08.2024 10:00 - 29.08.2024 11:00,52580,-
29.08.2024 11:00 - 29.08.2024 12:00,51949,-
29.08.2024 12:00 - 29.08.2024 13:00,51359,-
29.08.2024 13:00 - 29.08.2024 14:00,50270,-
29.08.2024 14:00 - 29.08.2024 15:00,48996,-
29.08.2024 15:00 - 29.08.2024 16:00,48100,-
29.08.2024 16:00 - 29.08.2024 17:00,48412,-
29.08.2024 17:00 - 29.08.2024 18:00,48347,-
29.08.2024 18:00 - 29.08.2024 19:00,46800,-
29.08.2024 19:00 - 29.08.2024 20:00,45790,-
29.08.2024 20:00 - 29.08.2024 21:00,45650,-
29.08.2024 21:00 - 29.08.2024 22:00,44752,-
29.08.2024 22:00 - 29.08.2024 23:00,41308,-
29.08.2024 23:00 - 30.08.2024 00:00,38995,-
30.08.2024 00:00 - 30.08.2024 01:00,37611,-
30.08.2024 01:00 - 30.08.2024 02:00,35953,-
30.08.2024 02:00 - 30.08.2024 03:00,35310,-
30.08.2024 03:00 - 30.08.2024 04:00,36601,-
30.08.2024 04:00 - 30.08.2024 05:00,39398,-
30.08.2024 05:00 - 30.08.2024 06:00,41857,-
30.08.2024 06:00 - 30.08.2024 07:00,44786,-
